Malli;Numero;Kohteen osoite;Postinumero;Postitoimipaikka;Sijaintipaikan tyyppi;Sijaintipaikka;Aukioloaika;Aukioloaika (lis�tiedot);Koordinaatti LAT;Koordinaatti LON
O;05198;KAUPPAKUJA 3;09430;SAUKKOLA;PANKIN KONTTORI;OP SAUKKOLA;24 H AUKIOLO;;60.380436;23.959745
P;05848;OLA WESTMANIN PUISTOTIE 9;10210;INKOO;KAUPPA;S-MARKET INKOO;24 H AUKIOLO;;60.045390;24.004620
P;05662;KAUPPIAANKATU 10;10300;KARJAA;PANKIN KONTTORI;AKTIA KARJAA;ITSEPALVELUALUEEN AUKIOLO;ma-su klo 06-23;60.070500;23.659370
O;04276;KAUPPIAANKATU 11;10300;KARJAA;PANKIN KONTTORI;NORDEA KARJAA;24 H AUKIOLO;;60.070942;23.659344
O;04376;KAUPPIAANKATU 6;10300;KARJAA;PANKIN KONTTORI;OP KARJAA;24 H AUKIOLO;;60.070098;23.659764
T;40114;RATAKATU 59;10300;KARJAA;KAUPPA;K-SUPERMARKET KARIS-KARJAA;LIIKETILAN AUKIOLO;;60.070620;23.663150
P;05722;VANHA TURUNTIE 73;10420;POHJANKURU;LIIKEKIINTEIST�;LIIKETILA;24 H AUKIOLO;;60.095840;23.525370
P;05699;PIT�J�NTIE 24;10520;TENHOLA;PANKIN KONTTORI;AKTIA TENHOLA;24 H AUKIOLO;;60.058550;23.304830
O;04342;ASEMATIE 1;10600;TAMMISAARI;PANKIN KONTTORI;OP TAMMISAARI;24 H AUKIOLO;;59.976366;23.438749
P;05661;ASEMATIE 6;10600;TAMMISAARI;PANKIN KONTTORI;SP TAMMISAARI;24 H AUKIOLO;;59.976993;23.440325
O;03799;KUNINGATTARENKATU 4;10600;TAMMISAARI;PANKIN KONTTORI;NORDEA TAMMISAARI;24 H AUKIOLO;;59.974642;23.437621
P;05664;RAASEPORINTIE 14;10650;TAMMISAARI;KAUPPA;K-SUPERMARKET POPSI;24 H AUKIOLO;;59.978370;23.463910
P;05700;NYCANDERINKATU 18;10900;HANKO;PANKIN KONTTORI;AKTIA HANKO;24 H AUKIOLO;;59.824750;22.964630
P;05772;REVELLINKATU 2;10900;HANKO;KAUPPA;K-SUPERMARKET HANKO;24 H AUKIOLO;;59.828346;22.965856
O;03800;VUORIKATU 12;10900;HANKO;PANKIN KONTTORI;NORDEA HANKO;24 H AUKIOLO;;59.825140;22.967540
O;04314;KESKUSKATU 12;11100;RIIHIM�KI;PANKIN KONTTORI;OP RIIHIM�KI;24 H AUKIOLO;;60.738344;24.773246
O;05115;LOPENTIE 22;11100;RIIHIM�KI;KAUPPA;S-MARKET HIRSIM�KI;24 H AUKIOLO;;60.731541;24.762811
O;04094;VOIMALANKATU 2;11100;RIIHIM�KI;TAVARATALO;PRISMA RIIHIM�KI;LIIKETILAN AUKIOLO;;60.732470;24.776630
O;04663;VOIMALANKATU 2;11100;RIIHIM�KI;TAVARATALO;PRISMA RIIHIM�KI;24 H AUKIOLO;;60.732070;24.777580
T;40045;VOIMALANKATU 2;11100;RIIHIM�KI;KAUPPAKESKUS;ATOMI;LIIKETILAN AUKIOLO;;60.732950;24.777730
EP;05529;KINTURINTIE 2;11120;RIIHIM�KI;LIIKENNEPAIKKA;ABC RIIHIM�KI;LIIKETILAN AUKIOLO;;60.751044;24.737960
O;05084;KONTIONTIE 34;11120;RIIHIM�KI;KAUPPA;K-MARKET OTSO;24 H AUKIOLO;;60.747558;24.769215
P;05821;PELTOSAARENKATU 1;11130;RIIHIM�KI;KAUPPA;VALINTATALO PELTOSAARI;24 H AUKIOLO;;60.738980;24.800930
O;03790;MERKOKSENKATU 5;11710;RIIHIM�KI;TAVARATALO;K-CITYMARKET RIIHIM�KI;24 H AUKIOLO;;60.721910;24.734110
O;04752;KESKUSTIE 1;12100;OITTI;PANKIN KONTTORI;OP OITTI;24 H AUKIOLO;;60.787000;25.027890
P;05667;HEIMOLANTIE 1;12400;TERVAKOSKI;PANKIN KONTTORI;OP TERVAKOSKI;24 H AUKIOLO;;60.816527;24.630774
EP;05565;HELSINGINTIE 1426;12400;TERVAKOSKI;HUOLTOASEMA;NESTE LINNATUULI;LIIKETILAN AUKIOLO;;60.849160;24.605990
P;05724;YHDYSTIE 3;12700;LOPPI;KAUPPA;S-MARKET LOPPI;24 H AUKIOLO;;60.720528;24.442797
P;05818;ETEL�KATU 14;13100;H�MEENLINNA;KAUPPAKESKUS;TAVASTILA;24 H AUKIOLO;;60.993679;24.460397
O;04847;H�MEENSAARENTIE 7;13100;H�MEENLINNA;TAVARATALO;K-CITYMARKET H�MEENSAARI;24 H AUKIOLO;;60.992332;24.460910
EP;05512;KAIVOKATU 7;13100;H�MEENLINNA;KAUPPAKESKUS;GOODMAN /1 KRS, HEMTEXIN VIERESS�;LIIKETILAN AUKIOLO;;60.995210;24.454940
T;40067;KAIVOKATU 7;13100;H�MEENLINNA;KAUPPAKESKUS;GOODMAN / P1. KRS, GALLERIAN K�YT�V�;LIIKETILAN AUKIOLO;;60.995920;24.454860
O;05053;RAATIHUONEENKATU 17;13100;H�MEENLINNA;PANKIN KONTTORI;NORDEA H�MEENLINNA;24 H AUKIOLO;;60.996050;24.464890
P;05776;RAATIHUONEENKATU 21;13100;H�MEENLINNA;PANKIN KONTTORI;OP H�MEENLINNA;24 H AUKIOLO;;60.995750;24.463300
T;40049;RAATIHUONEENKATU 21-23;13100;H�MEENLINNA;KAUPPAKESKUS;OPTELLI;LIIKETILAN AUKIOLO;;60.995352;24.462360
P;05888;KATSASTUSMIEHENTIE 6;13130;H�MEENLINNA;TAVARATALO;K-CITYMARKET H�MEENLINNA;24 H AUKIOLO;;61.006650;24.419200
O;04630;WARTIAM�ENTIE 2;13130;H�MEENLINNA;TAVARATALO;PRISMA H�MEENLINNA;24 H AUKIOLO;;61.011850;24.412390
EP;05508;WARTIAM�ENTIE 2;13130;H�MEENLINNA;TAVARATALO;PRISMA H�MEENLINNA;LIIKETILAN AUKIOLO;;61.012280;24.413820
EP;05501;ASEMA-AUKIO;13200;H�MEENLINNA;RAUTATIEASEMA;RAUTATIEASEMA / ASEMAHALLI;LIIKETILAN AUKIOLO;;61.002240;24.478450
O;04988;H�TIL�NKATU 2;13210;H�MEENLINNA;LIIKEKIINTEIST�;LIIKETILA;24 H AUKIOLO;;61.003290;24.488380
O;03784;LAANIITYNKATU 2;13210;H�MEENLINNA;KAUPPA;S-MARKET ID�NP��;24 H AUKIOLO;;61.006271;24.506226
P;05771;HONGISTONKUJA 8;13500;H�MEENLINNA;LIIKEKIINTEIST�;JUKOLAN LIIKEKESKUS;LIIKETILAN AUKIOLO;;60.984380;24.417030
O;03934;OJOISTENKATU 2;13600;H�MEENLINNA;LIIKEKIINTEIST�;OJOISTEN LIIKEKESKUS;24 H AUKIOLO;;61.007233;24.442845
O;05013;PAROISTENTIE 1;13600;H�MEENLINNA;LIIKENNEPAIKKA;ABC TIIRI�;24 H AUKIOLO;;61.014626;24.417134
O;04333;KINNALANTIE 3;13720;PAROLA;LIIKEKIINTEIST�;HATTULAN S��ST�PANKIN TORI;24 H AUKIOLO;;61.055290;24.372830
P;05773;HARVIALANTIE 7;14200;TURENKI;PANKIN KONTTORI;OP JANAKKALA;24 H AUKIOLO;;60.922732;24.648636
T;40079;HARVIALANTIE 7;14200;TURENKI;PANKIN KONTTORI;OP JANAKKALA;ITSEPALVELUALUEEN AUKIOLO;ma-su klo 5.00 -22.00;60.922720;24.648070
O;04570;RENGONRAITTI 16;14300;RENKO;PANKIN KONTTORI;OP RENKO;24 H AUKIOLO;;60.893987;24.281003
O;04164;KOTKAJ�RVENTIE 1;14500;IITTALA;PANKIN KONTTORI;OP IITTALA;24 H AUKIOLO;;61.090870;24.136280
O;04328;HAUHONTIE 13;14700;HAUHO;PANKIN KONTTORI;OP HAUHO;24 H AUKIOLO;;61.172105;24.562418
P;05853;POHJOISTENTIE 70;14810;TUULOS;KAUPPAKESKUS;TUULONEN;24 H AUKIOLO;;61.106370;24.865315
O;04290;LAUNEENKATU 14;15100;LAHTI;HUOLTOASEMA;NESTE LAUNE;24 H AUKIOLO;;60.967971;25.653966
O;04717;ALEKSANTERINKATU 10;15110;LAHTI;RAVINTOLA;AMARILLO;24 H AUKIOLO;;60.983097;25.657515
EP;05527;ALEKSANTERINKATU 19;15110;LAHTI;TAVARATALO;SOKOS LAHTI / NEUVONTA;LIIKETILAN AUKIOLO;;60.982746;25.659351
P;05894;ALEKSANTERINKATU 19 - 21;15110;LAHTI;TAVARATALO;SOKOS LAHTI;24 H AUKIOLO;;60.982750;25.659350
T;40035;ALEKSANTERINKATU 8;15110;LAHTI;PANKIN KONTTORI;DANSKE LAHTI;ITSEPALVELUALUEEN AUKIOLO;ma-su klo 06-22;60.983390;25.654520
O;04054;JALKARANNANTIE 1;15110;LAHTI;LINJA-AUTOASEMA;LINJA-AUTOASEMA / LAHTI;24 H AUKIOLO;;60.985524;25.648369
P;05916;ALEKSANTERINKATU 18;15140;LAHTI;KAUPPAKESKUS;TRIO;24 H AUKIOLO;;60.982650;25.662220
EP;05535;ALEKSANTERINKATU 18-22;15140;LAHTI;KAUPPAKESKUS;TRIO / ALEKSANTERI POHJAKERROS;LIIKETILAN AUKIOLO;;60.982650;25.662220
T;40050;ALEKSANTERINKATU 18-22;15140;LAHTI;KAUPPAKESKUS;TRIO;LIIKETILAN AUKIOLO;;60.982714;25.662048
P;05809;ANKKURIKATU 1;15140;LAHTI;LIIKEKIINTEIST�;S-MARKET ANKKURI;24 H AUKIOLO;;60.996360;25.656382
O;04581;KAUPPAKATU 13;15140;LAHTI;TAVARATALO;K-CITYMARKET PAAVOLA;24 H AUKIOLO;;60.985970;25.666247
P;05670;KAUPPAKATU 16;15140;LAHTI;TAVARATALO;ANTTILA LAHTI;24 H AUKIOLO;;60.985977;25.665882
O;04493;KAUPPAKATU 18;15140;LAHTI;KAUPPAKESKUS;SYKE / P��K�YT�V�;LIIKETILAN AUKIOLO;;60.987140;25.664810
EP;05619;KAUPPAKATU 18;15140;LAHTI;KAUPPAKESKUS;SYKE / S-MARKET;LIIKETILAN AUKIOLO;;60.987410;25.663690
O;05189;VIIPURINTIE 2;15150;LAHTI;RAVINTOLA;RAVINTOLA M�YS�N BAARI;24 H AUKIOLO;;60.979193;25.685332
EP;05549;KAUPPIAANKATU 2;15160;LAHTI;KAUPPAKESKUS;KARISMA;LIIKETILAN AUKIOLO;;60.982200;25.736250
EP;05550;KAUPPIAANKATU 2;15160;LAHTI;KAUPPAKESKUS;KARISMA;LIIKETILAN AUKIOLO;;60.982200;25.736300
P;05823;HIRSIMETS�NTIE 52;15200;LAHTI;KAUPPA;S-MARKET KIVERI�;24 H AUKIOLO;;60.990359;25.680840
O;04792;METS�PELLONTIE 2;15210;LAHTI;KAUPPA;SALE METS�PELTO;24 H AUKIOLO;;60.998318;25.684717
P;05879;JOHANNEKSENKATU 2;15240;LAHTI;TAVARATALO;PRISMA LAHTI HOLMA;24 H AUKIOLO;;61.008305;25.679243
P;05895;RITANIEMENKATU 7 - 9;15240;LAHTI;KAUPPA;S-MARKET MUKKULA;24 H AUKIOLO;;61.015666;25.664641
O;04685;ALASENKATU 1;15300;LAHTI;KAUPPA;K-MARKET AHTIALA;24 H AUKIOLO;;60.998909;25.758600
EP;05544;AJOKATU 53;15500;LAHTI;KAUPPAKESKUS;K-CITYMARKET LAUNE;LIIKETILAN AUKIOLO;;60.964820;25.658630
P;05896;OSTOSKATU 8;15500;LAHTI;KAUPPA;SALE LIIPOLA;24 H AUKIOLO;;60.962400;25.670280
O;05210;L�HDETIE 2;15540;VILL�HDE;KAUPPA;K-MARKET SOLINA;24 H AUKIOLO;;60.946690;25.805000
O;03938;MAJAKKATIE 2;15540;VILL�HDE;LIIKENNEPAIKKA;ABC NASTOLA;24 H AUKIOLO;;60.948499;25.886692
P;05875;LEKATIE 1;15550;NASTOLA;PANKIN KONTTORI;OP NASTOLA;24 H AUKIOLO;;60.936357;25.960564
O;04390;MUURARINTIE 4;15550;NASTOLA;PANKIN KONTTORI;NORDEA NASTOLA;24 H AUKIOLO;;60.937010;25.961740
O;04432;AURANTIE 11;15560;NASTOLA;LIIKEKIINTEIST�;LIIKETILA;24 H AUKIOLO;;60.947710;25.928440
EP;05520;APILAKATU 2;15610;LAHTI;TAVARATALO;PRISMA LAHTI LAUNE;LIIKETILAN AUKIOLO;;60.958750;25.655540
EP;05521;APILAKATU 2;15610;LAHTI;TAVARATALO;PRISMA LAHTI LAUNE;LIIKETILAN AUKIOLO;;60.958747;25.655543
O;04204;KEIJUTIE 13;15700;LAHTI;KIOSKI;S-MARKET KOTIPOKKI / R-KIOSKI;24 H AUKIOLO;;60.969550;25.629570
O;04205;KEIJUTIE 13;15700;LAHTI;KIOSKI;S-MARKET KOTIPOKKI / R-KIOSKI;24 H AUKIOLO;;60.969550;25.629480
O;04584;PASAASI 2;15700;LAHTI;KAUPPAKESKUS;K�RKK�INEN / LAHTI;24 H AUKIOLO;;60.934910;25.625810
T;40097;PASAASI 2;15700;LAHTI;TAVARATALO;K�RKK�INEN / LAHTI;LIIKETILAN AUKIOLO;;60.934560;25.624880
EP;05538;SIMOLANMUTKA 1;15700;LAHTI;LIIKENNEPAIKKA;ABC RENKOM�KI;LIIKETILAN AUKIOLO;;60.935592;25.633951
O;04515;HENNALANKATU 5;15810;LAHTI;KAUPPA;K-SUPERMARKET OKEROINEN;24 H AUKIOLO;;60.966607;25.581422
O;03719;PETSAMONKATU 9;15830;LAHTI;KAUPPA;S-MARKET METS�KANGAS;24 H AUKIOLO;;60.980937;25.593021
EP;05545;KESKUSSAIRAALANKATU 7;15850;LAHTI;SAIRAALA;P�IJ�T-H�MEEN KESKUSSAIRAALA;LIIKETILAN AUKIOLO;;60.991119;25.568203
EP;05656;KANSANKATU 8;15870;HOLLOLA;KAUPPA;S-MARKET HOLLOLA;LIIKETILAN AUKIOLO;;60.988972;25.516347
T;40076;KANSANKATU 8;15870;HOLLOLA;PANKIN KONTTORI;OP HOLLOLA;ITSEPALVELUALUEEN AUKIOLO;ma-su klo 6-23;60.989100;25.515880
P;05775;TARMONTIE 7;15870;HOLLOLA;KAUPPA;K-SUPERMARKET HOLLOLA;24 H AUKIOLO;;60.988910;25.544900
O;05057;VUORISENKATU 4;15950;LAHTI;KAUPPA;S-MARKET JALKARANTA;24 H AUKIOLO;;60.996796;25.592351
O;04354;ERKONTIE 11;16300;ORIMATTILA;PANKIN KONTTORI;OP ORIMATTILA;24 H AUKIOLO;;60.804621;25.732582
O;04927;K�KEL�NTIE 3;16300;ORIMATTILA;KAUPPA;K-SUPERMARKET ORIMATTILA;24 H AUKIOLO;;60.803109;25.735097
O;03743;H�HK�NIEMENTIE 3;16600;J�RVEL�;PANKIN KONTTORI;OP K�RK�L�;24 H AUKIOLO;;60.868240;25.274950
O;04748;KESKUSTIE 25;16800;H�MEENKOSKI;PANKIN KONTTORI;OP H�MEENKOSKI;24 H AUKIOLO;;61.021128;25.156658
O;04303;MOMMILANTIE 1;16900;LAMMI;KAUPPA;S-MARKET LAMMI;24 H AUKIOLO;;61.079686;25.011614
O;04229;MAAKAUPANTIE 1;17200;V��KSY;KAUPPA;K-SUPERMARKET V��KSY;24 H AUKIOLO;;61.173241;25.545685
O;04648;RUSTHOLLINTIE 1;17200;V��KSY;PANKIN KONTTORI;OP V��KSY;24 H AUKIOLO;;61.172226;25.550473
P;05852;KESKUSTIE 21;17500;PADASJOKI;PANKIN KONTTORI;OP PADASJOKI;24 H AUKIOLO;;61.350650;25.276850
P;05855;TORITIE 51;17800;KUHMOINEN;PANKIN KONTTORI;OP KUHMOINEN;24 H AUKIOLO;;61.563460;25.182090
O;04573;HEVOSSAARENTIE 1;18100;HEINOLA;TAVARATALO;K-CITYMARKET HEINOLA;24 H AUKIOLO;;61.193017;25.998376
P;05748;KIRKKOKATU 8;18100;HEINOLA;PANKIN KONTTORI;NORDEA HEINOLA;24 H AUKIOLO;;61.202656;26.032844
O;05077;SAVONTIE 5;18100;HEINOLA;KAUPPA;K-MARKET RUOKAMESTARI;24 H AUKIOLO;;61.203017;26.030755
T;40083;SAVONTIE 7;18100;HEINOLA;PANKIN KONTTORI;OP HEINOLA;ITSEPALVELUALUEEN AUKIOLO;ma-su klo 6-23;61.203480;26.030910
O;04944;SILTAKATU 31;18100;HEINOLA;KAUPPA;S-MARKET HEINOLA;24 H AUKIOLO;;61.205868;26.039447
EP;05624;TY�MIEHENTIE 33;18200;HEINOLA;LIIKENNEPAIKKA;ABC HEINOLA;LIIKETILAN AUKIOLO;;61.231917;26.045773
O;04613;VANHATIE 37;18300;HEINOLA;KAUPPA;K-MARKET KYL�T�HTI;24 H AUKIOLO;;61.248160;26.060443
O;04707;TERVALAMMENTIE 1;19110;VIERUM�KI;LIIKENNEPAIKKA;VIERUM�EN MATKAKEIDAS;24 H AUKIOLO;;61.106110;25.930560
O;05138;M�YR�TIE 1;19410;KUORTTI;LIIKENNEPAIKKA;ABC KUORTTI;LIIKETILAN AUKIOLO;;61.422338;26.434926
O;04041;VIRASTOKUJA 2;19430;PERTUNMAA;PANKIN KONTTORI;OP PERTUNMAA;24 H AUKIOLO;;61.504260;26.481704
O;04351;KESKUSTIE 48;19600;HARTOLA;PANKIN KONTTORI;OP HARTOLA;24 H AUKIOLO;;61.578590;26.021450
O;05157;KESKUSTIE 3;19650;JOUTSA;PANKIN KONTTORI;OP JOUTSA;24 H AUKIOLO;;61.743190;26.108100
O;04934;SYSM�NTIE 36;19700;SYSM�;PANKIN KONTTORI;OP SYSM�;24 H AUKIOLO;;61.501810;25.686610
O;04344;ANINKAISTENKATU 20;20100;TURKU;LINJA-AUTOASEMA;LINJA-AUTOASEMA TURKU;24 H AUKIOLO;;60.456840;22.268570
O;04337;EERIKINKATU;20100;TURKU;KIOSKI;KAUPPATORI / EERIKINKATU KIOSKI;24 H AUKIOLO;;60.452490;22.271690
P;05881;EERIKINKATU 19;20100;TURKU;KAUPPAKESKUS;CENTRUM;LIIKETILAN AUKIOLO;;60.449400;22.262570
O;04194;HUMALISTONKATU 9;20100;TURKU;PANKIN KONTTORI;NORDEA HUMALISTO;24 H AUKIOLO;;60.451761;22.257763
O;04234;KAUPPATORI;20100;TURKU;KIOSKI;KAUPPATORI / KALLUN GRILLI;24 H AUKIOLO;;60.451670;22.266940
O;05278;KAUPPIASKATU 7;20100;TURKU;TAVARATALO;SOKOS  WIKLUND;24 H AUKIOLO;;60.451757;22.268618
O;05005;KAUPPIASKATU 9 B;20100;TURKU;PANKIN KONTTORI;NORDEA KAUPPATORI;24 H AUKIOLO;;60.452470;22.267640
O;05006;KAUPPIASKATU 9 B;20100;TURKU;PANKIN KONTTORI;NORDEA KAUPPATORI;24 H AUKIOLO;;60.452390;22.267760
T;40036;KAUPPIASKATU 9 B;20100;TURKU;PANKIN KONTTORI;NORDEA KAUPPATORI;ITSEPALVELUALUEEN AUKIOLO;ma-su klo 6-22;60.452360;22.267850
T;40044;MAARIANKATU 4;20100;TURKU;PANKIN KONTTORI;OP TURKU;ITSEPALVELUALUEEN AUKIOLO;klo 6 - 23;60.454370;22.268730
O;04928;PUUTARHAKATU 36;20100;TURKU;KAUPPA;K-MARKET PORTSA;24 H AUKIOLO;;60.446279;22.242964
O;04228;VERKATEHTAANKATU 4;20100;TURKU;KAUPPA;VALINTATALO VERKAHOVI;24 H AUKIOLO;;60.457680;22.273540
O;05170;YLIOPISTONKATU 20;20100;TURKU;KAUPPAKESKUS;HANSATORI;LIIKETILAN AUKIOLO;;60.450520;22.263940
O;05171;YLIOPISTONKATU 20;20100;TURKU;KAUPPAKESKUS;HANSATORI;LIIKETILAN AUKIOLO;;60.450520;22.263940
O;05172;YLIOPISTONKATU 20;20100;TURKU;KAUPPAKESKUS;HANSATORI;LIIKETILAN AUKIOLO;;60.450520;22.263940
T;40033;YLIOPISTONKATU 20;20100;TURKU;PANKIN KONTTORI;DANSKE TURKU;ITSEPALVELUALUEEN AUKIOLO;ma-su klo 6 - 22;60.451370;22.264540
O;04620;YLIOPISTONKATU 29 B;20100;TURKU;TAVARATALO;ANTTILA KIVIKUKKARO;24 H AUKIOLO;;60.450542;22.260870
O;04399;EERIKINKATU 2;20110;TURKU;KAUPPA;KIRKKOSILTA;24 H AUKIOLO;;60.452768;22.273095
EP;05594;MESSUKENT�NKATU 8;20210;TURKU;MESSUKESKUS;MESSUKESKUS TURKU;LIIKETILAN AUKIOLO;;60.452760;22.190100
O;04535;HYRK�ISTENTIE 26;20240;TURKU;LIIKEKIINTEIST�;LIIKETILA;24 H AUKIOLO;;60.453150;22.160640
O;04763;PITK�M�ENKATU 4;20250;TURKU;TAVARATALO;K-SUPERMARKET MANHATTAN;24 H AUKIOLO;;60.457834;22.236328
O;04256;VANHA TAMPEREENTIE 108;20300;TURKU;TAVARATALO;PRISMA TAMPEREENTIE;24 H AUKIOLO;;60.472660;22.286800
EP;05558;MARKULANTIE 150;20320;TURKU;KAUPPAKESKUS;K-CITYMARKET L�NSIKESKUS / KIOSKI;LIIKETILAN AUKIOLO;;60.472000;22.232600
EP;05559;MARKULANTIE 150;20320;TURKU;KAUPPAKESKUS;K-CITYMARKET L�NSIKESKUS / ALKO;LIIKETILAN AUKIOLO;;60.471910;22.232590
T;40094;MARKULANTIE 150;20320;TURKU;TAVARATALO;K-CITYMARKET L�NSIKESKUS;LIIKETILAN AUKIOLO;;60.471890;22.232900
O;04458;VIILARINKATU 3;20320;TURKU;TAVARATALO;PRISMA L�NSIKESKUS / OIKEA ULKO-OVI;24 H AUKIOLO;;60.473290;22.227580
O;04919;VIILARINKATU 3;20320;TURKU;TAVARATALO;PRISMA L�NSIKESKUS / VASEN ULKO-OVI;24 H AUKIOLO;;60.473800;22.226890
O;05441;PIIPARINPOLKU 23;20360;TURKU;RAVINTOLA;RAVINTOLA SATAMA;24 H AUKIOLO;;60.489940;22.266360
O;04708;MITTUMAARINTIE 73;20400;TURKU;KAUPPA;K-MARKET MOISIO;24 H AUKIOLO;;60.534870;22.306050
O;04191;H�MEENKATU 5;20500;TURKU;PANKIN KONTTORI;NORDEA H�MEENKATU 5;24 H AUKIOLO;;60.452580;22.283790
O;04474;KIINANMYLLYNKATU 3;20500;TURKU;PANKIN KONTTORI;OP H�MEENKATU;24 H AUKIOLO;;60.453060;22.286920
P;05928;KALEVANTIE 41;20520;TURKU;TAVARATALO;PRISMA IT�HARJU;LIIKETILAN AUKIOLO;;60.446280;22.324180
O;05028;GREGORIUS IX:N TIE 8;20540;TURKU;KAUPPA;S-MARKET HALINEN;24 H AUKIOLO;;60.469352;22.306841
O;05204;H�MEENTIE 24;20540;TURKU;LIIKEKIINTEIST�;NUMMENM�KI;24 H AUKIOLO;;60.455666;22.297798
O;04772;REIVIKATU 5;20540;TURKU;TAVARATALO;K-CITYMARKET RAVATTULA;24 H AUKIOLO;;60.469640;22.356106
O;05127;VANHA H�MEENTIE 112;20540;TURKU;KAUPPA;VALINTATALO VANHA H�ME;24 H AUKIOLO;;60.458740;22.321680
O;03834;KOTKANKATU 3;20610;TURKU;KAUPPA;SIWA KOTKANKATU;24 H AUKIOLO;;60.441060;22.340640
O;04478;LITTOISTENTIE 81;20610;TURKU;KAUPPAKESKUS;IT�KESKUS TURKU / K�YT�V�;LIIKETILAN AUKIOLO;;60.443170;22.359420
O;05148;LITTOISTENTIE 81;20610;TURKU;KAUPPAKESKUS;IT�KESKUS TURKU;24 H AUKIOLO;;60.443450;22.358330
O;04990;UUSI  LITTOISTENTIE 48;20660;LITTOINEN;KAUPPA;VALINTATALO UUSI  LITTOISTENTIE;24 H AUKIOLO;;60.445008;22.391723
O;04823;KASKENTIE 2;20700;TURKU;HUOLTOASEMA;NESTE MOTOREST;24 H AUKIOLO;;60.441389;22.280319
O;04236;UUDENMAANTIE 17;20700;TURKU;TAVARATALO;K-CITYMARKET KUPITTAA;24 H AUKIOLO;;60.443820;22.286230
O;04237;UUDENMAANTIE 17;20700;TURKU;TAVARATALO;K-CITYMARKET KUPITTAA;LIIKETILAN AUKIOLO;;60.443820;22.286226
EP;05595;SKANSSINKATU 10;20730;TURKU;KAUPPAKESKUS;SKANSSI;LIIKETILAN AUKIOLO;;60.429770;22.321510
EP;05596;SKANSSINKATU 10;20730;TURKU;KAUPPAKESKUS;SKANSSI;LIIKETILAN AUKIOLO;;60.429770;22.321500
O;04738;KATARAISTENTIE 7;20740;TURKU;KAUPPAKESKUS;KOIVULAN LIIKEKESKUS;24 H AUKIOLO;;60.417959;22.301782
O;04953;LAUKL�HTEENKATU 10;20740;TURKU;KAUPPA;K-MARKET ILPOINEN;24 H AUKIOLO;;60.422489;22.284954
O;04596;MAISTRAATINPOLKU 1;20750;TURKU;KAUPPA;SALE LAUSTE;24 H AUKIOLO;;60.433248;22.348439
O;04773;KAIRISKULMANTIE 3;20760;PIISPANRISTI;TAVARATALO;PRISMA PIISPANRISTI;24 H AUKIOLO;;60.415314;22.326678
O;04485;HOVIRINNANTIE 5;20780;KAARINA;KAUPPA;K-SUPERMARKET KATARIINA;24 H AUKIOLO;;60.407118;22.362745
O;04434;OSKARINAUKIO 1;20780;KAARINA;PANKIN KONTTORI;NORDEA KAARINA;24 H AUKIOLO;;60.407850;22.370390
T;40144;OSKARINAUKIO 3;20780;KAARINA;PANKIN KONTTORI;OP KAARINA;ITSEPALVELUALUEEN AUKIOLO;klo 6- 23;60.407930;22.369780
O;04447;IT�INEN RANTAKATU 60;20810;TURKU;KAUPPA;VALINTATALO IT�INEN RANTAKATU;24 H AUKIOLO;;60.440605;22.248422
O;04162;KUPITTAANKATU 146;20810;TURKU;PANKIN KONTTORI;OP V�H�-HEIKKIL�;24 H AUKIOLO;;60.437100;22.258080
O;05027;K�LIKATU 2;20810;TURKU;KAUPPA;S-MARKET MAJAKKARANTA;24 H AUKIOLO;;60.430004;22.239351
O;05042;MARTINKATU 5;20810;TURKU;KAUPPA;K-MARKET MARTINMYLLY;24 H AUKIOLO;;60.442575;22.257636
O;05000;R�TI�L�NKATU 24;20810;TURKU;KAUPPA;K-MARKET ISPO;24 H AUKIOLO;;60.427387;22.269312
O;04955;RATSUMIEHENKATU 8;20880;TURKU;KAUPPA;K-MARKET UITTAMO;24 H AUKIOLO;;60.421396;22.264188
O;05086;VANHA KAKSKERRANTIE 1;20900;TURKU;KAUPPA;K-SUPERMARKET HIRVENSALO;24 H AUKIOLO;;60.418678;22.228656
O;05149;ALPPILANKATU 2;21100;NAANTALI;KAUPPA;K-SUPERMARKET ELLEN;24 H AUKIOLO;;60.466703;22.031897
O;04397;LUOSTARINKATU 25;21100;NAANTALI;PANKIN KONTTORI;NORDEA NAANTALI;24 H AUKIOLO;;60.467807;22.026018
T;40135;TULLIKATU 12;21100;NAANTALI;PANKIN KONTTORI;OP NAANTALI;ITSEPALVELUALUEEN AUKIOLO;klo 06 - 23;60.467560;22.024320
O;04619;VENEKUJA 5;21100;NAANTALI;KAUPPA;K-SUPERMARKET UKKO-PEKKA;24 H AUKIOLO;;60.476888;22.042655
O;04624;NUHJALANTIE 8;21110;NAANTALI;KAUPPA;SALE ETAPPI;24 H AUKIOLO;;60.484600;22.052000
O;04045;VILUNTIE 3;21140;RYM�TTYL�;PANKIN KONTTORI;OP RYM�TTYL�;24 H AUKIOLO;;60.376491;21.945575
O;04195;KAUPPAKATU 2;21200;RAISIO;KAUPPAKESKUS;RAISION LIIKEKESKUS/ ROSSO;24 H AUKIOLO;;60.487308;22.167060
T;40147;RAISIONTORI 5;21200;RAISIO;KAUPPA;S-MARKET RAISIONTORI;LIIKETILAN AUKIOLO;;60.485970;22.166470
